PROTID	DESC	COMPLEXID
Q9H0A8	cpx:315	METAZ:315
Q9GZQ3	cpx:261	METAZ:261
Q9GZQ3	cpx:71	METAZ:71
Q9UNS2	cpx:265	METAZ:265
Q92905	cpx:265	METAZ:265
Q7L5N1	cpx:265	METAZ:265
Q9H9Q2	cpx:265	METAZ:265
Q99627	cpx:265	METAZ:265
P55060	cpx:824	METAZ:824
P55060	cpx:41	METAZ:41
P17812	cpx:97	METAZ:97
P17812	cpx:131	METAZ:131
P17812	cpx:188	METAZ:188
Q9P2B4	cpx:517	METAZ:517
Q75N03	cpx:268	METAZ:268
O76031	cpx:578	METAZ:578
Q6PD62	cpx:85	METAZ:85
Q92785	cpx:6	METAZ:6
Q96EP5	cpx:46	METAZ:46
Q96EP5	cpx:204	METAZ:204
Q96EP5	cpx:917	METAZ:917
Q96EP5	cpx:2	METAZ:2
Q96EP5	cpx:5	METAZ:5
Q96EP5	cpx:303	METAZ:303
Q96EP5	cpx:59	METAZ:59
Q96EP5	cpx:43	METAZ:43
Q96EP5	cpx:44	METAZ:44
Q96EP5	cpx:978	METAZ:978
Q96GG9	cpx:223	METAZ:223
Q9NV06	cpx:26	METAZ:26
Q9NV06	cpx:446	METAZ:446
Q92499	cpx:205	METAZ:205
Q9NR30	cpx:595	METAZ:595
Q9NY93	cpx:4	METAZ:4
Q13206	cpx:228	METAZ:228
Q9NVP1	cpx:4	METAZ:4
Q9NVP1	cpx:758	METAZ:758
Q9NVP1	cpx:762	METAZ:762
Q9UMR2	cpx:379	METAZ:379
Q9BUQ8	cpx:25	METAZ:25
Q9GZR7	cpx:4	METAZ:4
Q96GQ7	cpx:737	METAZ:737
Q96GQ7	cpx:328	METAZ:328
Q96GQ7	cpx:169	METAZ:169
O00571	cpx:187	METAZ:187
O00571	cpx:130	METAZ:130
O00571	cpx:97	METAZ:97
O00571	cpx:861	METAZ:861
Q9H8H2	cpx:137	METAZ:137
O00148	cpx:158	METAZ:158
O00148	cpx:961	METAZ:961
Q9UJV9	cpx:390	METAZ:390
Q9NXZ2	cpx:403	METAZ:403
Q9NXZ2	cpx:150	METAZ:150
Q9H0S4	cpx:4	METAZ:4
Q9H0S4	cpx:571	METAZ:571
Q9BQ39	cpx:595	METAZ:595
Q9Y2R4	cpx:186	METAZ:186
Q9Y2R4	cpx:175	METAZ:175
Q5JSJ4	cpx:970	METAZ:970
O43143	cpx:150	METAZ:150
O43143	cpx:812	METAZ:812
O43143	cpx:67	METAZ:67
O43143	cpx:4	METAZ:4
Q8IY37	cpx:322	METAZ:322
Q8IY37	cpx:67	METAZ:67
Q9BW61	cpx:535	METAZ:535
Q9Y2L1	cpx:19	METAZ:19
Q9NPF5	cpx:62	METAZ:62
Q9NPF5	cpx:102	METAZ:102
Q9NPF5	cpx:385	METAZ:385
Q5TDH0	cpx:156	METAZ:156
Q8TEK3	cpx:504	METAZ:504
Q9BZG8	cpx:172	METAZ:172
Q9BQC3	cpx:172	METAZ:172
P31689	cpx:233	METAZ:233
P31689	cpx:16	METAZ:16
O60884	cpx:16	METAZ:16
Q96EY1	cpx:89	METAZ:89
Q8WW22	cpx:243	METAZ:243
Q8WW22	cpx:16	METAZ:16
P25685	cpx:16	METAZ:16
Q9UBS4	cpx:226	METAZ:226
Q9NXW2	cpx:89	METAZ:89
Q9NXW2	cpx:438	METAZ:438
Q9NXW2	cpx:16	METAZ:16
Q8TBM8	cpx:438	METAZ:438
Q9UDY4	cpx:16	METAZ:16
Q96KC8	cpx:226	METAZ:226
Q8IXB1	cpx:16	METAZ:16
O75165	cpx:226	METAZ:226
Q9NVM6	cpx:323	METAZ:323
Q9NVM6	cpx:442	METAZ:442
Q99543	cpx:323	METAZ:323
Q99543	cpx:233	METAZ:233
Q99543	cpx:16	METAZ:16
Q13217	cpx:145	METAZ:145
Q13217	cpx:343	METAZ:343
Q99615	cpx:343	METAZ:343
Q99615	cpx:233	METAZ:233
Q8WXX5	cpx:168	METAZ:168
Q8WXX5	cpx:233	METAZ:233
Q8WXX5	cpx:67	METAZ:67
Q8WXX5	cpx:222	METAZ:222
Q96L91	cpx:597	METAZ:597
Q56P03	cpx:532	METAZ:532
Q96C19	cpx:38	METAZ:38
Q96C19	cpx:153	METAZ:153
Q9H4M9	cpx:56	METAZ:56
Q9H4M9	cpx:134	METAZ:134
Q9H4M9	cpx:284	METAZ:284
Q9NZN4	cpx:84	METAZ:84
Q9H223	cpx:284	METAZ:284
Q96HE7	cpx:177	METAZ:177
Q9H501	cpx:176	METAZ:176
Q9H501	cpx:228	METAZ:228
Q8N531	cpx:395	METAZ:395
P62942	cpx:5	METAZ:5
P62942	cpx:32	METAZ:32
P62942	cpx:687	METAZ:687
P62942	cpx:681	METAZ:681
P62942	cpx:680	METAZ:680
P62942	cpx:859	METAZ:859
P62942	cpx:787	METAZ:787
P62942	cpx:784	METAZ:784
P62942	cpx:965	METAZ:965
P62942	cpx:782	METAZ:782
P68106	cpx:684	METAZ:684
P68106	cpx:683	METAZ:683
P68106	cpx:778	METAZ:778
P68106	cpx:965	METAZ:965
P68106	cpx:744	METAZ:744
P68106	cpx:32	METAZ:32
P68106	cpx:751	METAZ:751
P68106	cpx:682	METAZ:682
P26885	cpx:32	METAZ:32
P26885	cpx:154	METAZ:154
Q00688	cpx:549	METAZ:549
Q9Y680	cpx:118	METAZ:118
Q9Y680	cpx:119	METAZ:119
Q9Y680	cpx:58	METAZ:58
Q9NVI1	cpx:187	METAZ:187
P35544	cpx:957	METAZ:957
Q8IY81	cpx:169	METAZ:169
Q8IY81	cpx:328	METAZ:328
Q8IY81	cpx:753	METAZ:753
Q8IY81	cpx:761	METAZ:761
Q8IY81	cpx:731	METAZ:731
P15170	cpx:172	METAZ:172
Q8IYD1	cpx:529	METAZ:529
Q06546	cpx:511	METAZ:511
Q9NY12	cpx:137	METAZ:137
Q8WXI9	cpx:57	METAZ:57
Q9Y5B6	cpx:540	METAZ:540
Q92616	cpx:242	METAZ:242
P31150	cpx:8	METAZ:8
Q14691	cpx:246	METAZ:246
Q9Y248	cpx:246	METAZ:246
O14908	cpx:573	METAZ:573
Q9BZE4	cpx:371	METAZ:371
Q9BZE4	cpx:4	METAZ:4
Q9BZE4	cpx:754	METAZ:754
Q13283	cpx:434	METAZ:434
Q13283	cpx:959	METAZ:959
Q9UN86	cpx:33	METAZ:33
Q9HAV7	cpx:89	METAZ:89
Q9HAV7	cpx:168	METAZ:168
Q9H583	cpx:419	METAZ:419
Q86Y56	cpx:202	METAZ:202
Q7Z4Q2	cpx:166	METAZ:166
Q7Z6Z7	cpx:592	METAZ:592
O43464	cpx:83	METAZ:83
O43464	cpx:51	METAZ:51
Q13123	cpx:436	METAZ:436
Q08881	cpx:554	METAZ:554
P20839	cpx:131	METAZ:131
P20839	cpx:188	METAZ:188
P20839	cpx:97	METAZ:97
P20839	cpx:130	METAZ:130
P20839	cpx:187	METAZ:187
P12268	cpx:187	METAZ:187
P12268	cpx:97	METAZ:97
P12268	cpx:131	METAZ:131
P12268	cpx:188	METAZ:188
P12268	cpx:130	METAZ:130
P12268	cpx:100	METAZ:100
P12268	cpx:931	METAZ:931
Q9NV31	cpx:175	METAZ:175
Q9NV31	cpx:340	METAZ:340
Q96G21	cpx:322	METAZ:322
Q96G21	cpx:175	METAZ:175
Q96G21	cpx:196	METAZ:196
Q8NBZ0	cpx:183	METAZ:183
Q9ULG1	cpx:183	METAZ:183
Q9ULR0	cpx:116	METAZ:116
Q07666	cpx:151	METAZ:151
Q07666	cpx:45	METAZ:45
Q5VWX1	cpx:45	METAZ:45
Q5VWX1	cpx:275	METAZ:275
O75525	cpx:45	METAZ:45
O75525	cpx:151	METAZ:151
Q92945	cpx:847	METAZ:847
Q92945	cpx:364	METAZ:364
Q92945	cpx:930	METAZ:930
Q15397	cpx:4	METAZ:4
Q15397	cpx:228	METAZ:228
Q5VYK3	cpx:289	METAZ:289
Q69YN4	cpx:268	METAZ:268
Q6P9B6	cpx:249	METAZ:249
Q8N163	cpx:437	METAZ:437
Q8N9T8	cpx:196	METAZ:196
Q13601	cpx:26	METAZ:26
Q13601	cpx:186	METAZ:186
Q14657	cpx:345	METAZ:345
Q9Y4W2	cpx:148	METAZ:148
O15116	cpx:48	METAZ:48
Q3MHD2	cpx:151	METAZ:151
Q3MHD2	cpx:104	METAZ:104
Q9Y333	cpx:48	METAZ:48
Q9Y333	cpx:723	METAZ:723
P62310	cpx:48	METAZ:48
Q9Y4Z0	cpx:48	METAZ:48
Q9Y4Y9	cpx:48	METAZ:48
P62312	cpx:723	METAZ:723
P62312	cpx:48	METAZ:48
Q9UK45	cpx:48	METAZ:48
Q9UK45	cpx:213	METAZ:213
Q8WVC0	cpx:85	METAZ:85
O00566	cpx:196	METAZ:196
O00566	cpx:238	METAZ:238
O00566	cpx:340	METAZ:340
O00566	cpx:175	METAZ:175
Q99547	cpx:19	METAZ:19
Q9BXY0	cpx:169	METAZ:169
Q9Y6X3	cpx:498	METAZ:498
Q9BYG3	cpx:328	METAZ:328
Q9Y3A3	cpx:391	METAZ:391
Q9Y3A3	cpx:666	METAZ:666
P41227	cpx:86	METAZ:86
Q9BXJ9	cpx:86	METAZ:86
Q6N069	cpx:86	METAZ:86
P61599	cpx:414	METAZ:414
Q14CX7	cpx:414	METAZ:414
O95777	cpx:48	METAZ:48
Q9GZZ1	cpx:324	METAZ:324
Q8TBE9	cpx:417	METAZ:417
Q9NR45	cpx:46	METAZ:46
Q9NR45	cpx:77	METAZ:77
Q9NR45	cpx:54	METAZ:54
Q9NR45	cpx:43	METAZ:43
Q9NR45	cpx:51	METAZ:51
Q9NR45	cpx:44	METAZ:44
Q9NR45	cpx:59	METAZ:59
Q9H0A0	cpx:322	METAZ:322
Q9H0A0	cpx:26	METAZ:26
Q9H0A0	cpx:762	METAZ:762
P54920	cpx:133	METAZ:133
P54920	cpx:134	METAZ:134
Q96IV0	cpx:129	METAZ:129
Q92597	cpx:67	METAZ:67
Q92597	cpx:229	METAZ:229
P30419	cpx:579	METAZ:579
O43678	cpx:452	METAZ:452
O43678	cpx:203	METAZ:203
O43678	cpx:91	METAZ:91
P56556	cpx:518	METAZ:518
O96000	cpx:181	METAZ:181
O96000	cpx:200	METAZ:200
P17568	cpx:544	METAZ:544
O95169	cpx:200	METAZ:200
O95169	cpx:99	METAZ:99
P28331	cpx:65	METAZ:65
O75306	cpx:65	METAZ:65
O75489	cpx:65	METAZ:65
O43181	cpx:30	METAZ:30
O43181	cpx:10	METAZ:10
O43181	cpx:65	METAZ:65
O00217	cpx:75	METAZ:75
O00217	cpx:65	METAZ:65
P49821	cpx:65	METAZ:65
P55160	cpx:63	METAZ:63
O14777	cpx:290	METAZ:290
Q9Y697	cpx:551	METAZ:551
Q9NX24	cpx:137	METAZ:137
Q9ULX3	cpx:142	METAZ:142
Q86W24	cpx:509	METAZ:509
Q96P20	cpx:519	METAZ:519
P22392	cpx:32	METAZ:32
P22392	cpx:635	METAZ:635
P22392	cpx:700	METAZ:700
P22392	cpx:964	METAZ:964
P22392	cpx:668	METAZ:668
P22392	cpx:636	METAZ:636
P22392	cpx:664	METAZ:664
P22392	cpx:698	METAZ:698
P22392	cpx:673	METAZ:673
Q8TEA1	cpx:554	METAZ:554
O00567	cpx:26	METAZ:26
Q9Y2X3	cpx:26	METAZ:26
Q9Y2X3	cpx:758	METAZ:758
Q9Y2X3	cpx:754	METAZ:754
Q9Y2X3	cpx:731	METAZ:731
O95478	cpx:4	METAZ:4
Q6KC79	cpx:498	METAZ:498
O15294	cpx:573	METAZ:573
Q9NPF4	cpx:345	METAZ:345
Q9NPF4	cpx:431	METAZ:431
O94913	cpx:715	METAZ:715
O94913	cpx:492	METAZ:492
O94913	cpx:68	METAZ:68
Q29RF7	cpx:73	METAZ:73
Q9NTI5	cpx:73	METAZ:73
O00151	cpx:347	METAZ:347
Q9BVI0	cpx:79	METAZ:79
Q7RTV0	cpx:37	METAZ:37
Q9NWS0	cpx:339	METAZ:339
Q9GZP4	cpx:539	METAZ:539
Q8TF01	cpx:318	METAZ:318
Q9UMS4	cpx:120	METAZ:120
O43395	cpx:25	METAZ:25
Q8WWY3	cpx:25	METAZ:25
Q8NAV1	cpx:214	METAZ:214
Q8NAV1	cpx:524	METAZ:524
O43172	cpx:25	METAZ:25
Q6NWY9	cpx:61	METAZ:61
O94906	cpx:25	METAZ:25
Q6P2Q9	cpx:490	METAZ:490
Q6P2Q9	cpx:25	METAZ:25
Q6P2Q9	cpx:749	METAZ:749
Q6P2Q9	cpx:814	METAZ:814
Q15269	cpx:167	METAZ:167
Q8N7H5	cpx:764	METAZ:764
Q8N7H5	cpx:85	METAZ:85
Q9Y3B4	cpx:37	METAZ:37
P61026	cpx:8	METAZ:8
P61026	cpx:378	METAZ:378
P62491	cpx:8	METAZ:8
P62491	cpx:377	METAZ:377
Q15907	cpx:8	METAZ:8
P62820	cpx:9	METAZ:9
P62820	cpx:8	METAZ:8
"Q92928,Q9H0U4"	cpx:7	METAZ:7
"Q92928,Q9H0U4"	cpx:9	METAZ:9
"Q92928,Q9H0U4"	cpx:8	METAZ:8
P61019	cpx:219	METAZ:219
P61019	cpx:72	METAZ:72
P61019	cpx:291	METAZ:291
P61019	cpx:9	METAZ:9
P61019	cpx:22	METAZ:22
P61019	cpx:8	METAZ:8
P61019	cpx:7	METAZ:7
Q9H2M9	cpx:525	METAZ:525
P20339	cpx:8	METAZ:8
P20339	cpx:961	METAZ:961
Q9NRW1	cpx:219	METAZ:219
P51149	cpx:8	METAZ:8
P61006	cpx:8	METAZ:8
Q92930	cpx:8	METAZ:8
O60216	cpx:73	METAZ:73
P54725	cpx:493	METAZ:493
P54727	cpx:129	METAZ:129
Q92878	cpx:394	METAZ:394
Q6VN20	cpx:655	METAZ:655
Q6VN20	cpx:574	METAZ:574
P49792	cpx:155	METAZ:155
Q9H6Z4	cpx:144	METAZ:144
Q9H6Z4	cpx:41	METAZ:41
O60518	cpx:41	METAZ:41
O60518	cpx:84	METAZ:84
Q96S59	cpx:655	METAZ:655
Q96S59	cpx:621	METAZ:621
P62826	cpx:147	METAZ:147
P62826	cpx:144	METAZ:144
P62826	cpx:41	METAZ:41
P62826	cpx:967	METAZ:967
P0DJD1	cpx:155	METAZ:155
Q99666	cpx:155	METAZ:155
P62834	cpx:8	METAZ:8
P62834	cpx:162	METAZ:162
P62834	cpx:161	METAZ:161
P61224	cpx:22	METAZ:22
P61224	cpx:161	METAZ:161
P61224	cpx:162	METAZ:162
Q9UKL0	cpx:411	METAZ:411
Q9P2K3	cpx:411	METAZ:411
Q9BVS4	cpx:278	METAZ:278
Q9NTZ6	cpx:2	METAZ:2
Q96T37	cpx:150	METAZ:150
Q8NDT2	cpx:150	METAZ:150
P49756	cpx:61	METAZ:61
Q9NW13	cpx:197	METAZ:197
Q9NW13	cpx:4	METAZ:4
P42696	cpx:26	METAZ:26
Q14498	cpx:318	METAZ:318
Q8TBY0	cpx:466	METAZ:466
Q9Y580	cpx:625	METAZ:625
Q9Y5S9	cpx:277	METAZ:277
Q15287	cpx:199	METAZ:199
Q9UKM9	cpx:155	METAZ:155
Q9UKM9	cpx:464	METAZ:464
Q9H6T3	cpx:645	METAZ:645
Q9H6T3	cpx:339	METAZ:339
Q8IZ73	cpx:623	METAZ:623
Q15050	cpx:4	METAZ:4
Q15050	cpx:257	METAZ:257
Q9H446	cpx:527	METAZ:527
Q92696	cpx:584	METAZ:584
P53611	cpx:584	METAZ:584
Q9H0H5	cpx:309	METAZ:309
P46060	cpx:155	METAZ:155
Q15404	cpx:170	METAZ:170
Q15404	cpx:256	METAZ:256
P52565	cpx:49	METAZ:49
P52565	cpx:136	METAZ:136
P52565	cpx:12	METAZ:12
P52565	cpx:3	METAZ:3
P52565	cpx:334	METAZ:334
P52565	cpx:76	METAZ:76
P52566	cpx:136	METAZ:136
P52566	cpx:320	METAZ:320
Q99819	cpx:12	METAZ:12
Q99819	cpx:136	METAZ:136
Q99819	cpx:162	METAZ:162
Q9NRY4	cpx:404	METAZ:404
Q92541	cpx:85	METAZ:85
Q9Y265	cpx:854	METAZ:854
Q9Y265	cpx:62	METAZ:62
Q9Y265	cpx:813	METAZ:813
Q9Y230	cpx:62	METAZ:62
Q9Y230	cpx:903	METAZ:903
Q9Y230	cpx:895	METAZ:895
P63208	cpx:395	METAZ:395
Q9UHR5	cpx:558	METAZ:558
Q9NR31	cpx:110	METAZ:110
P55735	cpx:448	METAZ:448
Q9Y6Y8	cpx:630	METAZ:630
O95486	cpx:114	METAZ:114
P53992	cpx:114	METAZ:114
Q9UGP8	cpx:55	METAZ:55
Q9UGP8	cpx:349	METAZ:349
Q8NC51	cpx:507	METAZ:507
Q8NC51	cpx:939	METAZ:939
Q8NC51	cpx:888	METAZ:888
Q86TU7	cpx:542	METAZ:542
Q01105	cpx:450	METAZ:450
Q9Y2Z0	cpx:395	METAZ:395
Q9Y3L3	cpx:519	METAZ:519
Q96B97	cpx:127	METAZ:127
Q96B97	cpx:387	METAZ:387
P29353	cpx:481	METAZ:481
Q96ST3	cpx:372	METAZ:372
Q96ST3	cpx:643	METAZ:643
Q96ST3	cpx:321	METAZ:321
O75182	cpx:52	METAZ:52
Q5MIZ7	cpx:295	METAZ:295
P61956	cpx:971	METAZ:971
O95295	cpx:356	METAZ:356
P18583	cpx:318	METAZ:318
Q9NP77	cpx:329	METAZ:329
Q9H2G2	cpx:273	METAZ:273
Q9UNE7	cpx:577	METAZ:577
Q8TCJ2	cpx:451	METAZ:451
Q8TCJ2	cpx:961	METAZ:961
Q9UBE0	cpx:458	METAZ:458
Q8IWZ8	cpx:67	METAZ:67
Q8IWZ8	cpx:150	METAZ:150
P28370	cpx:79	METAZ:79
P51531	cpx:6	METAZ:6
O60264	cpx:769	METAZ:769
O60264	cpx:156	METAZ:156
Q92922	cpx:6	METAZ:6
Q92922	cpx:669	METAZ:669
Q96GM5	cpx:6	METAZ:6
Q92925	cpx:6	METAZ:6
Q6STE5	cpx:6	METAZ:6
Q969G3	cpx:6	METAZ:6
Q15436	cpx:114	METAZ:114
Q15437	cpx:114	METAZ:114
O75446	cpx:585	METAZ:585
P05455	cpx:298	METAZ:298
P05455	cpx:915	METAZ:915
O43805	cpx:548	METAZ:548
Q12962	cpx:42	METAZ:42
Q6P1X5	cpx:648	METAZ:648
Q5VWG9	cpx:42	METAZ:42
O00268	cpx:42	METAZ:42
Q15542	cpx:648	METAZ:648
Q15542	cpx:42	METAZ:42
P49848	cpx:42	METAZ:42
Q15545	cpx:42	METAZ:42
Q9HBM6	cpx:42	METAZ:42
Q9NUY8	cpx:602	METAZ:602
Q96FV9	cpx:108	METAZ:108
Q8NI27	cpx:108	METAZ:108
Q96J01	cpx:108	METAZ:108
Q13769	cpx:108	METAZ:108
Q86W42	cpx:108	METAZ:108
Q6I9Y2	cpx:108	METAZ:108
O75663	cpx:315	METAZ:315
Q96S44	cpx:431	METAZ:431
Q9H2D6	cpx:508	METAZ:508
Q2NL82	cpx:278	METAZ:278
Q3B726	cpx:171	METAZ:171
P49411	cpx:20	METAZ:20
P49411	cpx:160	METAZ:160
P26368	cpx:613	METAZ:613
O15042	cpx:610	METAZ:610
Q16222	cpx:582	METAZ:582
Q3KQV9	cpx:406	METAZ:406
Q3KQV9	cpx:227	METAZ:227
Q14376	cpx:31	METAZ:31
Q14376	cpx:87	METAZ:87
Q9NYU2	cpx:441	METAZ:441
Q9NYU1	cpx:441	METAZ:441
Q92900	cpx:45	METAZ:45
Q9HAU5	cpx:545	METAZ:545
Q9BZI7	cpx:545	METAZ:545
Q9BVJ6	cpx:238	METAZ:238
Q9BVJ6	cpx:340	METAZ:340
Q9BVJ6	cpx:169	METAZ:169
Q9Y5J1	cpx:196	METAZ:196
O75691	cpx:26	METAZ:26
O75691	cpx:176	METAZ:176
Q9NQZ2	cpx:175	METAZ:175
Q9NQZ2	cpx:196	METAZ:196
O95292	cpx:269	METAZ:269
Q92558	cpx:63	METAZ:63
Q9Y6W5	cpx:63	METAZ:63
Q9UPY6	cpx:63	METAZ:63
Q8IWB7	cpx:501	METAZ:501
O75717	cpx:307	METAZ:307
Q9GZL7	cpx:4	METAZ:4
Q9BV38	cpx:148	METAZ:148
Q9H7D7	cpx:574	METAZ:574
Q9UNX4	cpx:167	METAZ:167
Q9C0J8	cpx:68	METAZ:68
Q8NI36	cpx:238	METAZ:238
Q8NI36	cpx:167	METAZ:167
P57081	cpx:536	METAZ:536
Q9BQA1	cpx:598	METAZ:598
Q6UXN9	cpx:13	METAZ:13
Q6UXN9	cpx:153	METAZ:153
Q6UXN9	cpx:316	METAZ:316
Q96MX6	cpx:671	METAZ:671
Q96MX6	cpx:339	METAZ:339
Q9Y2W2	cpx:496	METAZ:496
Q15007	cpx:268	METAZ:268
O00401	cpx:454	METAZ:454
P13010	cpx:513	METAZ:513
P13010	cpx:659	METAZ:659
P13010	cpx:727	METAZ:727
P12956	cpx:735	METAZ:735
P12956	cpx:513	METAZ:513
P12956	cpx:274	METAZ:274
P12956	cpx:740	METAZ:740
Q9HCS7	cpx:116	METAZ:116
Q9HCS7	cpx:749	METAZ:749
O95619	cpx:597	METAZ:597
O43264	cpx:608	METAZ:608
Q8NI60	cpx:587	METAZ:587
P24752	cpx:469	METAZ:469
P42765	cpx:353	METAZ:353
P42765	cpx:12	METAZ:12
P42765	cpx:3	METAZ:3
P39687	cpx:102	METAZ:102
Q92688	cpx:102	METAZ:102
Q9BTT0	cpx:102	METAZ:102
Q92747	cpx:38	METAZ:38
O15143	cpx:38	METAZ:38
O15144	cpx:38	METAZ:38
O15144	cpx:848	METAZ:848
O15145	cpx:38	METAZ:38
Q9BPX5	cpx:38	METAZ:38
P60709	cpx:62	METAZ:62
P63261	cpx:62	METAZ:62
O96019	cpx:6	METAZ:6
Q9NZ32	cpx:39	METAZ:39
P35609	cpx:750	METAZ:750
P35609	cpx:111	METAZ:111
P35609	cpx:181	METAZ:181
P35609	cpx:768	METAZ:768
O43707	cpx:770	METAZ:770
O43707	cpx:766	METAZ:766
O43707	cpx:78	METAZ:78
O43707	cpx:260	METAZ:260
Q9H1I8	cpx:424	METAZ:424
P18846	cpx:550	METAZ:550
Q9ULW3	cpx:186	METAZ:186
P16219	cpx:281	METAZ:281
P16219	cpx:192	METAZ:192
Q15067	cpx:217	METAZ:217
Q15067	cpx:589	METAZ:589
O60488	cpx:579	METAZ:579
Q10567	cpx:90	METAZ:90
Q10567	cpx:912	METAZ:912
Q10567	cpx:667	METAZ:667
Q10567	cpx:972	METAZ:972
Q9BXS5	cpx:667	METAZ:667
Q9BXS5	cpx:719	METAZ:719
Q9BXS5	cpx:258	METAZ:258
Q9Y6Q5	cpx:90	METAZ:90
O95782	cpx:90	METAZ:90
P53680	cpx:90	METAZ:90
O00203	cpx:300	METAZ:300
Q9Y2T2	cpx:300	METAZ:300
Q92572	cpx:300	METAZ:300
