Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
KLK3	APS, PSA	ENSG00000142515	Kallikrein-related peptidase 3	19	51358171-51364020	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000070, HPA000764	Supportive			Tissue enriched	943	prostate: 5562.0	adrenal gland: 5.9
C4orf40		ENSG00000187533	Chromosome 4 open reading frame 40	4	70999333-71042516	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036150, HPA036151	Supportive			Tissue enriched	938	salivary gland: 1370.0	testis: 1.5
TMEM174	FLJ31268, MGC13034	ENSG00000164325	Transmembrane protein 174	5	72469022-72470970	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA037975	Supportive			Tissue enriched	914	kidney: 101.2	prostate: 0.1
GIF	IF, IFMH, INF, TCN3	ENSG00000134812	Gastric intrinsic factor (vitamin B synthesis)	11	59596741-59612974	Disease related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039908, HPA040774	Supportive	Uncertain		Tissue enriched	884	stomach: 798.2	kidney: 0.9
CTRB2		ENSG00000168928	Chymotrypsinogen B2	16	75237994-75241083	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	863	pancreas: 52212.1	ovary: 60.5
C9		ENSG00000113600	Complement component 9	5	39284364-39424970	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002151, HPA029577	Uncertain	Supportive	Plasma membrane, Cytoplasm	Tissue enriched	840	liver: 574.2	kidney: 0.7
PNLIPRP1	PLRP1	ENSG00000187021	Pancreatic lipase-related protein 1	10	118349897-118368687	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	837	pancreas: 4011.7	ovary: 4.8
SMR3A	PBI, PRL5, PROL5	ENSG00000109208	Submaxillary gland androgen regulated protein 3A	4	71226478-71232875	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044567	Supportive			Tissue enriched	833	salivary gland: 350.7	thyroid gland: 0.4
TEX38	ATPAF1-AS1, C1orf223, LOC374973, THEG4	ENSG00000186118	Testis expressed 38	1	47134527-47139266	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	823	testis: 144.6	cerebral cortex: 0.2
SPATA3	TSARG1	ENSG00000173699	Spermatogenesis associated 3	2	231860836-231889770	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA018254	Supportive			Tissue enriched	821	testis: 82.1	lymph node: 0.1
SLC22A8	OAT3	ENSG00000149452	Solute carrier family 22 (organic anion transporter), member 8	11	62756626-62783311	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044174	Supportive			Tissue enriched	820	kidney: 282.6	cerebral cortex: 0.3
CYP11B2	ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo	ENSG00000179142	Cytochrome P450, family 11, subfamily B, polypeptide 2	8	143991975-143999259	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA049171	Supportive			Tissue enriched	818	adrenal gland: 81.8	adipose tissue: 0.0
HDGFL1	dJ309H15.1, PWWP1	ENSG00000112273	Hepatoma derived growth factor-like 1	6	22569678-22571892	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045679, HPA063707	Supportive			Tissue enriched	814	testis: 81.4	duodenum: 0.1
CTRB1	CTRB	ENSG00000168925	Chymotrypsinogen B1	16	75252898-75258822	Enzymes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	788	pancreas: 58491.4	ovary: 74.2
UMOD		ENSG00000169344	Uromodulin	16	20344374-20367623	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009446, HPA043420, HPA054721	Supportive			Tissue enriched	779	kidney: 1425.8	stomach: 1.8
GK2	GKP2, GKTA	ENSG00000196475	Glycerol kinase 2	4	80327508-80329372	Enzymes, Mitochondrial proteins, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060687	Uncertain			Tissue enriched	763	testis: 76.3	adipose tissue: 0.0
CFHR5	CFHL5, FHR-5, FHR5	ENSG00000134389	Complement factor H-related 5	1	196946667-196978804	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038915, HPA040726	Supportive	Uncertain		Tissue enriched	759	liver: 75.9	testis: 0.1
DEFB123	DEFB-23	ENSG00000180424	Defensin, beta 123	20	30028322-30038060	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	746	testis: 74.6	small intestine: 0.1
TG	AITD3, TGN	ENSG00000042832	Thyroglobulin	8	133879203-134147147	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000077, HPA002740, CAB056155	Supportive			Tissue enriched	737	thyroid gland: 4999.8	lymph node: 6.8
LYPD4	MGC42718	ENSG00000183103	LY6/PLAUR domain containing 4	19	42341148-42348760	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	731	testis: 82.6	appendix: 0.1
SERPINC1	AT3, ATIII, MGC22579	ENSG00000117601	Serpin peptidase inhibitor, clade C (antithrombin), member 1	1	173872947-173886516	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001816, CAB016790, HPA024007	Supportive			Tissue enriched	730	liver: 1487.3	kidney: 2.0
MUC7	FLJ27047, MG2	ENSG00000171195	Mucin 7, secreted	4	71296209-71348714	Disease related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006411	Supportive			Tissue enriched	725	salivary gland: 6717.8	pancreas: 9.3
C2orf57	MGC35154	ENSG00000177673	Chromosome 2 open reading frame 57	2	232457575-232458994	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA049917, HPA056433	Supportive			Tissue enriched	709	testis: 70.9	adipose tissue: 0.0
CELA2B	ELA2B, RP11-265F14.2	ENSG00000215704	Chymotrypsin-like elastase family, member 2B	1	15792404-15817895	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	709	pancreas: 7104.7	ovary: 10.0
KIF2B		ENSG00000141200	Kinesin family member 2B	17	51900239-51902573	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023081, HPA023103, HPA024795	Uncertain	Uncertain	Nucleoli, Cytoskeleton (Microtubules), Nucleus	Tissue enriched	702	testis: 70.2	adipose tissue: 0.0
CUZD1	ERG-1, UO-44	ENSG00000138161	CUB and zona pellucida-like domains 1	10	124591665-124639146	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	690	pancreas: 981.3	testis: 1.4
MYBPC3	CMH4, FHC, MYBP-C	ENSG00000134571	Myosin binding protein C, cardiac	11	47352957-47374253	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040147, HPA043898	Supportive			Tissue enriched	690	heart muscle: 512.9	testis: 0.7
SLC10A1	NTCP	ENSG00000100652	Solute carrier family 10 (sodium/bile acid cotransporter), member 1	14	70242134-70264006	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA042727	Uncertain			Tissue enriched	680	liver: 174.0	gallbladder: 0.3
ACTRT2	Arp-T2, ARPM2, FLJ25424	ENSG00000169717	Actin-related protein T2	1	2938046-2939465	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA006480, HPA025079	Supportive			Tissue enriched	673	testis: 67.3	adipose tissue: 0.0
PIP	GCDFP-15, GCDFP15, GPIP4	ENSG00000159763	Prolactin-induced protein	7	142829170-142836839	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002661, HPA009177	Supportive	Uncertain		Tissue enriched	670	salivary gland: 4996.9	pancreas: 7.5
SMR3B	P-B, PRL3, PROL3	ENSG00000171201	Submaxillary gland androgen regulated protein 3B	4	71235810-71255961	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	658	salivary gland: 41573.5	pancreas: 63.2
SFTPB	SFTP3, SP-B	ENSG00000168878	Surfactant protein B	2	85884437-85895864	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002440, HPA034820	Supportive			Tissue enriched	656	lung: 2617.1	spleen: 4.0
CASP14	MGC119078, MGC119079, MICE	ENSG00000105141	Caspase 14, apoptosis-related cysteine peptidase	19	15160195-15169104	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB010059, HPA027062	Supportive			Tissue enriched	634	skin: 367.6	skeletal muscle: 0.6
C2orf53	MGC44505	ENSG00000186143	Chromosome 2 open reading frame 53	2	27359723-27362278	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA059038	Uncertain			Tissue enriched	609	testis: 60.9	adipose tissue: 0.0
CCDC70	DKFZP434K1172, FLJ25853	ENSG00000123171	Coiled-coil domain containing 70	13	52436117-52440366		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA045405	Uncertain			Tissue enriched	608	testis: 60.8	adipose tissue: 0.0
SLC12A1	NKCC2	ENSG00000074803	Solute carrier family 12 (sodium/potassium/chloride transporter), member 1	15	48483861-48596275	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014967, HPA018107	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	600	kidney: 424.7	cerebral cortex: 0.7
CST9L	bA218C14.1, CTES7B	ENSG00000101435	Cystatin 9-like	20	23545369-23549386	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	598	testis: 59.8	duodenum: 0.1
MYL7	MYL2A, MYLC2A	ENSG00000106631	Myosin, light chain 7, regulatory	7	44178463-44180931	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA013331, CAB033884, HPA039262	Supportive			Tissue enriched	597	heart muscle: 4606.8	salivary gland: 7.7
SLCO1B1	LST-1, OATP-C, OATP1B1, SLC21A6	ENSG00000134538	Solute carrier organic anion transporter family, member 1B1	12	21284136-21392180	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA050892	Uncertain			Tissue enriched	597	liver: 204.5	gallbladder: 0.3
ODF1	CT133, HSPB10, ODF27, ODFPG, RT7	ENSG00000155087	Outer dense fiber of sperm tails 1	8	103563800-103573245	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA064295	Uncertain			Tissue enriched	595	testis: 178.0	fallopian tube: 0.3
STATH	STR	ENSG00000126549	Statherin	4	70861647-70868287	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044569	Supportive			Tissue enriched	588	salivary gland: 30871.9	pancreas: 52.5
TMCO2	dJ39G22.2	ENSG00000188800	Transmembrane and coiled-coil domains 2	1	40711619-40717363	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	585	testis: 80.7	heart muscle: 0.1
CYP2A6	CPA6, CYP2A, CYP2A3	ENSG00000255974	Cytochrome P450, family 2, subfamily A, polypeptide 6	19	41349443-41356352	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA046713, HPA047262	Supportive			Tissue enriched	580	liver: 756.0	adipose tissue: 1.3
SPATA16	NYD-SP12	ENSG00000144962	Spermatogenesis associated 16	3	172607148-172859058	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA037884	Supportive			Tissue enriched	574	testis: 57.4	adipose tissue: 0.0
APOA2		ENSG00000158874	Apolipoprotein A-II	1	161192082-161193421	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025885	Uncertain			Tissue enriched	565	liver: 6148.6	tonsil: 10.9
CSHL1	CS-5, CSHP1, CSL, hCS-L, MGC149868	ENSG00000204414	Chorionic somatomammotropin hormone-like 1	17	61986957-61996198	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB025646, HPA043715	Supportive	Uncertain		Tissue enriched	565	placenta: 335.8	smooth muscle: 0.6
